name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Lanesgroup,lanesgroup,bamboohr,40,low,1,bamboohr; 235 US jobs
Theweitzcompany,theweitzcompany,bamboohr,40,low,1,bamboohr; 167 US jobs
401Auto,401auto,bamboohr,40,low,1,bamboohr; 113 US jobs
Gasproservices,gasproservices,bamboohr,40,low,1,bamboohr; 100 US jobs
Foodpeople,foodpeople,bamboohr,40,low,1,bamboohr; 95 US jobs
Arcetyp,arcetyp,bamboohr,40,low,1,bamboohr; 94 US jobs
Laprairie,laprairie,bamboohr,40,low,1,bamboohr; 93 US jobs
Aceelectric,aceelectric,bamboohr,40,low,1,bamboohr; 90 US jobs
Upike,upike,bamboohr,40,low,1,bamboohr; 87 US jobs
Orag,orag,bamboohr,40,low,1,bamboohr; 85 US jobs
Youthopportunity,youthopportunity,bamboohr,40,low,1,bamboohr; 84 US jobs
Gminingventures,gminingventures,bamboohr,40,low,1,bamboohr; 83 US jobs
Fesslerbowman,fesslerbowman,bamboohr,40,low,1,bamboohr; 80 US jobs
Ems,ems,bamboohr,40,low,1,bamboohr; 78 US jobs
Digitainsoftware,digitainsoftware,bamboohr,40,low,1,bamboohr; 69 US jobs
Ameripharma,ameripharma,bamboohr,40,low,1,bamboohr; 65 US jobs
Cmtsllc,cmtsllc,bamboohr,40,low,1,bamboohr; 65 US jobs
Huntelectric,huntelectric,bamboohr,40,low,1,bamboohr; 65 US jobs
Baileynelson,baileynelson,bamboohr,40,low,1,bamboohr; 63 US jobs
Reverehealth,reverehealth,bamboohr,40,low,1,bamboohr; 63 US jobs
Dbgroup,dbgroup,bamboohr,40,low,1,bamboohr; 62 US jobs
Cmtservicesinc,cmtservicesinc,bamboohr,40,low,1,bamboohr; 61 US jobs
Ascensionrecovery,ascensionrecovery,bamboohr,40,low,1,bamboohr; 60 US jobs
Jrandco,jrandco,bamboohr,40,low,1,bamboohr; 60 US jobs
Asuresoftware,asuresoftware,bamboohr,40,low,1,bamboohr; 59 US jobs
Toters,toters,bamboohr,40,low,1,bamboohr; 59 US jobs
Lmrtechnicalgroup,lmrtechnicalgroup,bamboohr,40,low,1,bamboohr; 58 US jobs
Ahkgroup,ahkgroup,bamboohr,40,low,1,bamboohr; 57 US jobs
Archipelagocos,archipelagocos,bamboohr,40,low,1,bamboohr; 57 US jobs
Ballasthospitality,ballasthospitality,bamboohr,40,low,1,bamboohr; 57 US jobs
Maderach,maderach,bamboohr,40,low,1,bamboohr; 57 US jobs
Hermosillo,hermosillo,bamboohr,40,low,1,bamboohr; 55 US jobs
Jcifederal,jcifederal,bamboohr,40,low,1,bamboohr; 55 US jobs
Seniorpsych,seniorpsych,bamboohr,40,low,1,bamboohr; 55 US jobs
Bettiscompanies,bettiscompanies,bamboohr,40,low,1,bamboohr; 54 US jobs
Clopay,clopay,bamboohr,40,low,1,bamboohr; 54 US jobs
Emedgroup,emedgroup,bamboohr,40,low,1,bamboohr; 54 US jobs
Lucastree,lucastree,bamboohr,40,low,1,bamboohr; 53 US jobs
Avivahealth,avivahealth,bamboohr,40,low,1,bamboohr; 52 US jobs
Kinsley,kinsley,bamboohr,40,low,1,bamboohr; 51 US jobs
Ffun,ffun,bamboohr,40,low,1,bamboohr; 49 US jobs
Ri,ri,bamboohr,40,low,1,bamboohr; 49 US jobs
Excelprep,excelprep,bamboohr,40,low,1,bamboohr; 48 US jobs
Alstonco,alstonco,bamboohr,40,low,1,bamboohr; 46 US jobs
Bkimechanical,bkimechanical,bamboohr,40,low,1,bamboohr; 46 US jobs
Trimgroup,trimgroup,bamboohr,40,low,1,bamboohr; 46 US jobs
Whca,whca,bamboohr,40,low,1,bamboohr; 46 US jobs
Cabinetpeaks,cabinetpeaks,bamboohr,40,low,1,bamboohr; 45 US jobs
Kempquarries,kempquarries,bamboohr,40,low,1,bamboohr; 45 US jobs
Kineticpeds,kineticpeds,bamboohr,40,low,1,bamboohr; 45 US jobs
Legalmanagementgroup,legalmanagementgroup,bamboohr,40,low,1,bamboohr; 45 US jobs
Mccarthyautogroup,mccarthyautogroup,bamboohr,40,low,1,bamboohr; 45 US jobs
Unitedsmarttech,unitedsmarttech,bamboohr,40,low,1,bamboohr; 45 US jobs
Ahcmo,ahcmo,bamboohr,40,low,1,bamboohr; 44 US jobs
Bibliu,bibliu,bamboohr,40,low,1,bamboohr; 44 US jobs
Ccsamerica,ccsamerica,bamboohr,40,low,1,bamboohr; 44 US jobs
Conetec,conetec,bamboohr,40,low,1,bamboohr; 44 US jobs
Hometrack,hometrack,bamboohr,40,low,1,bamboohr; 44 US jobs
Glm,glm,bamboohr,40,low,1,bamboohr; 43 US jobs
Metzstrategicsolutions,metzstrategicsolutions,bamboohr,40,low,1,bamboohr; 43 US jobs
Structuretx,structuretx,bamboohr,40,low,1,bamboohr; 43 US jobs
Tggaccounting,tggaccounting,bamboohr,40,low,1,bamboohr; 43 US jobs
Tmcamping,tmcamping,bamboohr,40,low,1,bamboohr; 43 US jobs
Bbf,bbf,bamboohr,40,low,1,bamboohr; 42 US jobs
Htmniseko,htmniseko,bamboohr,40,low,1,bamboohr; 42 US jobs
Neurabilities,neurabilities,bamboohr,40,low,1,bamboohr; 42 US jobs
Rycon,rycon,bamboohr,40,low,1,bamboohr; 42 US jobs
Cmciks,cmciks,bamboohr,40,low,1,bamboohr; 41 US jobs
Hutchcc,hutchcc,bamboohr,40,low,1,bamboohr; 41 US jobs
Swlahealth,swlahealth,bamboohr,40,low,1,bamboohr; 41 US jobs
Idbank,idbank,bamboohr,40,low,1,bamboohr; 40 US jobs
Ullimanschutte,ullimanschutte,bamboohr,40,low,1,bamboohr; 40 US jobs
Ashememorial,ashememorial,bamboohr,40,low,1,bamboohr; 39 US jobs
Baldwinfamilyhealthcare,baldwinfamilyhealthcare,bamboohr,40,low,1,bamboohr; 39 US jobs
Hudson,hudson,bamboohr,40,low,1,bamboohr; 39 US jobs
