name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Tsmg,tsmg,lever,40,low,1,bulk-verified; 3333 jobs
Boxlunch,boxlunch,lever,40,low,1,bulk-verified; 2601 jobs
Bayada,bayada,greenhouse,40,low,1,bulk-verified; 2572 jobs
Carvana,carvana,greenhouse,40,low,1,bulk-verified; 2185 jobs
Andurilindustries,andurilindustries,greenhouse,40,low,1,bulk-verified; 2089 jobs
Globalelitecareers,globalelitecareers,lever,40,low,1,bulk-verified; 1930 jobs
Spacex,spacex,greenhouse,40,low,1,bulk-verified; 1753 jobs
Liquidpersonnel,liquidpersonnel,greenhouse,40,low,1,bulk-verified; 1707 jobs
Speechify,speechify,greenhouse,40,low,1,bulk-verified; 1682 jobs
Usasurveyjob,usasurveyjob,lever,40,low,1,bulk-verified; 1673 jobs
Lifestance,lifestance,lever,40,low,1,bulk-verified; 1463 jobs
Cgsfederal,cgsfederal,lever,40,low,1,bulk-verified; 1410 jobs
Centriaautism,centriaautism,greenhouse,40,low,1,bulk-verified; 1141 jobs
Hyphenconnect,hyphenconnect,greenhouse,40,low,1,bulk-verified; 1026 jobs
Bluelightconsulting,bluelightconsulting,lever,40,low,1,bulk-verified; 1019 jobs
Veeva,veeva,lever,40,low,1,bulk-verified; 988 jobs
Blueskytelepsych,blueskytelepsych,greenhouse,40,low,1,bulk-verified; 945 jobs
Equipmentsharecom,equipmentsharecom,greenhouse,40,low,1,bulk-verified; 941 jobs
Gopuff,gopuff,lever,40,low,1,bulk-verified; 811 jobs
Capco,capco,greenhouse,40,low,1,bulk-verified; 763 jobs
Ouihelp,ouihelp,greenhouse,40,low,1,bulk-verified; 679 jobs
Aloyoga,aloyoga,greenhouse,40,low,1,bulk-verified; 655 jobs
Hibu,hibu,greenhouse,40,low,1,bulk-verified; 621 jobs
Accenturefederalservices,accenturefederalservices,greenhouse,40,low,1,bulk-verified; 619 jobs
Coupang,coupang,greenhouse,40,low,1,bulk-verified; 619 jobs
Feverup,feverup,greenhouse,40,low,1,bulk-verified; 593 jobs
Privateequityinsights,privateequityinsights,greenhouse,40,low,1,bulk-verified; 591 jobs
Airwallex,airwallex,ashby,40,low,1,bulk-verified; 584 jobs
Pei,pei,greenhouse,40,low,1,bulk-verified; 536 jobs
Axon,axon,greenhouse,40,low,1,bulk-verified; 523 jobs
Airapps,airapps,ashby,40,low,1,bulk-verified; 498 jobs
Paytmpayments,paytmpayments,lever,40,low,1,bulk-verified; 485 jobs
Lyrahealth,lyrahealth,lever,40,low,1,bulk-verified; 478 jobs
N2Publishingglassdoor,n2publishingglassdoor,greenhouse,40,low,1,bulk-verified; 477 jobs
Luminishealth,luminishealth,greenhouse,40,low,1,bulk-verified; 447 jobs
Doordashusa,doordashusa,greenhouse,40,low,1,bulk-verified; 446 jobs
Cscgeneration,cscgeneration-2,lever,40,low,1,bulk-verified; 438 jobs
Bjakcareer,bjakcareer,ashby,40,low,1,bulk-verified; 435 jobs
Stone,stone,greenhouse,40,low,1,bulk-verified; 422 jobs
Renuity,renuity,ashby,40,low,1,bulk-verified; 421 jobs
Medelitellc,medelitellc,greenhouse,40,low,1,bulk-verified; 418 jobs
Snowflake,snowflake,ashby,40,low,1,bulk-verified; 418 jobs
Horacemannagents,horacemannagents,greenhouse,40,low,1,bulk-verified; 414 jobs
Esri,esri,greenhouse,40,low,1,bulk-verified; 405 jobs
Getwingapp,getwingapp,lever,40,low,1,bulk-verified; 403 jobs
Holderconstruction,holderconstruction,greenhouse,40,low,1,bulk-verified; 399 jobs
Sohohouseco,sohohouseco,greenhouse,40,low,1,bulk-verified; 398 jobs
Hellofresh,hellofresh,greenhouse,40,low,1,bulk-verified; 389 jobs
Coupanginternal,coupanginternal,greenhouse,40,low,1,bulk-verified; 388 jobs
Shieldai,shieldai,lever,40,low,1,bulk-verified; 388 jobs
Accelschools,accelschools,greenhouse,40,low,1,bulk-verified; 376 jobs
Binance,binance,lever,40,low,1,bulk-verified; 375 jobs
Dhpace,dhpace,greenhouse,40,low,1,bulk-verified; 372 jobs
Morganmorganjobsapplynow,morganmorganjobsapplynow,greenhouse,40,low,1,bulk-verified; 367 jobs
Jack Jill External Ats,jack-jill-external-ats,ashby,40,low,1,bulk-verified; 365 jobs
Lilt Production,lilt-production,ashby,40,low,1,bulk-verified; 360 jobs
Destinationknot,destinationknot,lever,40,low,1,bulk-verified; 358 jobs
Mediabrands,mediabrands,greenhouse,40,low,1,bulk-verified; 357 jobs
Housebuyersofamerica,housebuyersofamerica,greenhouse,40,low,1,bulk-verified; 354 jobs
Infuse,infuse,greenhouse,40,low,1,bulk-verified; 353 jobs
Nice,nice,greenhouse,40,low,1,bulk-verified; 353 jobs
Charliehealth,charliehealth,greenhouse,40,low,1,bulk-verified; 350 jobs
Asm,asm,greenhouse,40,low,1,bulk-verified; 345 jobs
Crusoe,crusoe,ashby,40,low,1,bulk-verified; 343 jobs
Avepoint,avepoint,greenhouse,40,low,1,bulk-verified; 342 jobs
Otterbein,otterbein,greenhouse,40,low,1,bulk-verified; 338 jobs
Okta,okta,greenhouse,40,low,1,bulk-verified; 337 jobs
Olsson,olsson,greenhouse,40,low,1,bulk-verified; 333 jobs
Purestorage,purestorage,greenhouse,40,low,1,bulk-verified; 333 jobs
Diginnother,diginnother,greenhouse,40,low,1,bulk-verified; 328 jobs
