name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Pulse,pulse,greenhouse,40,low,1,YC-discovered; 2521 jobs
Agency,agency,greenhouse,40,low,1,YC-discovered; 801 jobs
Sila,sila,lever,40,low,1,YC-discovered; 294 jobs
Distro,distro,lever,40,low,1,YC-discovered; 241 jobs
Super,super,greenhouse,40,low,1,YC-discovered; 209 jobs
Legora,legora,ashby,40,low,1,YC-discovered; 187 jobs
Prolific,prolific,greenhouse,40,low,1,YC-discovered; 173 jobs
Stage,stage,greenhouse,40,low,1,YC-discovered; 163 jobs
Tractian,tractian,lever,40,low,1,YC-discovered; 111 jobs
TRM Labs,trm-labs,ashby,40,low,1,YC-discovered; 110 jobs
BillionToOne,billiontoone,greenhouse,40,low,1,YC-discovered; 105 jobs
Astranis,astranis,greenhouse,40,low,1,YC-discovered; 101 jobs
Finni Health,finni-health,ashby,40,low,1,YC-discovered; 101 jobs
Zip,zip,ashby,40,low,1,YC-discovered; 100 jobs
Aleph,aleph,lever,40,low,1,YC-discovered; 99 jobs
Clara,clara,greenhouse,40,low,1,YC-discovered; 79 jobs
Clutch,clutch,greenhouse,40,low,1,YC-discovered; 73 jobs
Instawork,instawork,greenhouse,40,low,1,YC-discovered; 69 jobs
Abacus,abacus,greenhouse,40,low,1,YC-discovered; 67 jobs
Ashby,ashby,ashby,40,low,1,YC-discovered; 66 jobs
Hightouch,hightouch,greenhouse,40,low,1,YC-discovered; 65 jobs
Deepgram,deepgram,ashby,40,low,1,YC-discovered; 63 jobs
Fetch,fetch,greenhouse,40,low,1,YC-discovered; 60 jobs
Inversion Space,inversionspace,greenhouse,40,low,1,YC-discovered; 59 jobs
Twitch,twitch,greenhouse,40,low,1,YC-discovered; 58 jobs
Human Interest,humaninterest,greenhouse,40,low,1,YC-discovered; 57 jobs
Oklo,oklo,greenhouse,40,low,1,YC-discovered; 55 jobs
Alpaca,alpaca,greenhouse,40,low,1,YC-discovered; 55 jobs
Flex,flex,greenhouse,40,low,1,YC-discovered; 53 jobs
PowerX,powerx,greenhouse,40,low,1,YC-discovered; 51 jobs
ACLU,aclu,greenhouse,40,low,1,YC-discovered; 49 jobs
Benchling,benchling,ashby,40,low,1,YC-discovered; 48 jobs
SingleStore,singlestore,greenhouse,40,low,1,YC-discovered; 47 jobs
Supabase,supabase,ashby,40,low,1,YC-discovered; 47 jobs
Encord,encord,ashby,40,low,1,YC-discovered; 47 jobs
HackerRank,hackerrank,greenhouse,40,low,1,YC-discovered; 46 jobs
Emburse,emburse,lever,40,low,1,YC-discovered; 46 jobs
May Mobility,maymobility,greenhouse,40,low,1,YC-discovered; 46 jobs
PagerDuty,pagerduty,greenhouse,40,low,1,YC-discovered; 45 jobs
Algolia,algolia,greenhouse,40,low,1,YC-discovered; 45 jobs
Meesho,meesho,lever,40,low,1,YC-discovered; 44 jobs
Clear,clear,greenhouse,40,low,1,YC-discovered; 43 jobs
Eight Sleep,eightsleep,ashby,40,low,1,YC-discovered; 43 jobs
Docker,docker,ashby,40,low,1,YC-discovered; 42 jobs
Apollo.io,apolloio,greenhouse,40,low,1,YC-discovered; 42 jobs
SkydropX,skydropx,ashby,40,low,1,YC-discovered; 42 jobs
Tailor,tailor,ashby,40,low,1,YC-discovered; 41 jobs
Bird,bird,greenhouse,40,low,1,YC-discovered; 40 jobs
Twenty,twenty,ashby,40,low,1,YC-discovered; 39 jobs
Astro Mechanica,astro-mechanica,ashby,40,low,1,YC-discovered; 39 jobs
Speak,speak,ashby,40,low,1,YC-discovered; 38 jobs
Canary Technologies,canarytechnologies,lever,40,low,1,YC-discovered; 37 jobs
Candid Health,candidhealth,ashby,40,low,1,YC-discovered; 37 jobs
Exa,exa,ashby,40,low,1,YC-discovered; 37 jobs
Moss,moss,ashby,40,low,1,YC-discovered; 37 jobs
Netomi,netomi,lever,40,low,1,YC-discovered; 36 jobs
Nabis,nabis,greenhouse,40,low,1,YC-discovered; 35 jobs
Taktile,taktile,ashby,40,low,1,YC-discovered; 35 jobs
MarqVision,marqvision,greenhouse,40,low,1,YC-discovered; 35 jobs
Level,level,ashby,40,low,1,YC-discovered; 35 jobs
Overview,overview,ashby,40,low,1,YC-discovered; 34 jobs
ARQ,arq,ashby,40,low,1,YC-discovered; 34 jobs
PermitFlow,permitflow,ashby,40,low,1,YC-discovered; 34 jobs
Scribe,scribe,ashby,40,low,1,YC-discovered; 33 jobs
Camp,camp,greenhouse,40,low,1,YC-discovered; 33 jobs
Axle,axle,greenhouse,40,low,1,YC-discovered; 33 jobs
Reducto,reducto,ashby,40,low,1,YC-discovered; 33 jobs
Silver,silver,ashby,40,low,1,YC-discovered; 32 jobs
Gigs,gigs,greenhouse,40,low,1,YC-discovered; 32 jobs
Momentic,momentic,greenhouse,40,low,1,YC-discovered; 32 jobs
GoCardless,gocardless,greenhouse,40,low,1,YC-discovered; 31 jobs
Multiverse,multiverse,ashby,40,low,1,YC-discovered; 30 jobs
Gridware,gridware,lever,40,low,1,YC-discovered; 30 jobs
Vapi,vapi,ashby,40,low,1,YC-discovered; 30 jobs
GOAT Group,goatgroup,greenhouse,40,low,1,YC-discovered; 29 jobs
Fieldguide,fieldguide,ashby,40,low,1,YC-discovered; 29 jobs
Onebrief,onebrief,ashby,40,low,1,YC-discovered; 29 jobs
Stellar,stellar,ashby,40,low,1,YC-discovered; 29 jobs
Lio (formerly askLio),lio,ashby,40,low,1,YC-discovered; 29 jobs
Capi Money,capimoney,ashby,40,low,1,YC-discovered; 29 jobs
Clipboard,clipboard,ashby,40,low,1,YC-discovered; 28 jobs
Firsthand,firsthand,greenhouse,40,low,1,YC-discovered; 28 jobs
Adaptyv,adaptyv,ashby,40,low,1,YC-discovered; 28 jobs
Confido,confido,ashby,40,low,1,YC-discovered; 27 jobs
Stepful,stepful,ashby,40,low,1,YC-discovered; 27 jobs
Campfire,campfire,ashby,40,low,1,YC-discovered; 27 jobs
Kalshi,kalshi,greenhouse,40,low,1,YC-discovered; 26 jobs
Ditto,ditto,ashby,40,low,1,YC-discovered; 26 jobs
Roboflow,roboflow,ashby,40,low,1,YC-discovered; 26 jobs
voize,voize,ashby,40,low,1,YC-discovered; 26 jobs
Axiom,axiom,greenhouse,40,low,1,YC-discovered; 26 jobs
Xendit,xendit,greenhouse,40,low,1,YC-discovered; 25 jobs
Mesh,mesh,greenhouse,40,low,1,YC-discovered; 25 jobs
AfterQuery,afterquery,ashby,40,low,1,YC-discovered; 25 jobs
CaptivateIQ,captivateiq,lever,40,low,1,YC-discovered; 24 jobs
Verse Medical,versemedical,ashby,40,low,1,YC-discovered; 24 jobs
Pantheon,pantheon,greenhouse,40,low,1,YC-discovered; 24 jobs
Juicebox,juicebox,ashby,40,low,1,YC-discovered; 24 jobs
Avoca,avoca,ashby,40,low,1,YC-discovered; 24 jobs
Nox Metals,nox-metals,ashby,40,low,1,YC-discovered; 24 jobs
Truebill,truebill,greenhouse,40,low,1,YC-discovered; 23 jobs
Superside,superside,lever,40,low,1,YC-discovered; 23 jobs
Vetcove,vetcove,ashby,40,low,1,YC-discovered; 23 jobs
Promise,promise,ashby,40,low,1,YC-discovered; 23 jobs
Squad,squad,greenhouse,40,low,1,YC-discovered; 23 jobs
Heart Aerospace,heartaerospace,greenhouse,40,low,1,YC-discovered; 23 jobs
Prompt,prompt,ashby,40,low,1,YC-discovered; 23 jobs
Curri,curri,ashby,40,low,1,YC-discovered; 23 jobs
Latent,latent,ashby,40,low,1,YC-discovered; 23 jobs
Echo,echo,ashby,40,low,1,YC-discovered; 23 jobs
Miso,miso,ashby,40,low,1,YC-discovered; 22 jobs
ClassDojo,classdojo,ashby,40,low,1,YC-discovered; 22 jobs
Skyways,skyways,lever,40,low,1,YC-discovered; 22 jobs
Newfront,newfront,ashby,40,low,1,YC-discovered; 22 jobs
RevenueCat,revenuecat,ashby,40,low,1,YC-discovered; 22 jobs
Pair Team,pairteam,greenhouse,40,low,1,YC-discovered; 22 jobs
Omni,omni,ashby,40,low,1,YC-discovered; 22 jobs
Turion Space,turion-space,ashby,40,low,1,YC-discovered; 22 jobs
Numeral,numeral,ashby,40,low,1,YC-discovered; 22 jobs
Tremendous,tremendous,ashby,40,low,1,YC-discovered; 21 jobs
H1,h1,lever,40,low,1,YC-discovered; 21 jobs
Homebase,homebase,ashby,40,low,1,YC-discovered; 21 jobs
Aspora,aspora,ashby,40,low,1,YC-discovered; 21 jobs
Retell AI,retell-ai,ashby,40,low,1,YC-discovered; 21 jobs
Plume,plume,greenhouse,40,low,1,YC-discovered; 21 jobs
Akido Labs,akidolabs,greenhouse,40,low,1,YC-discovered; 20 jobs
NanoNets,nanonets,greenhouse,40,low,1,YC-discovered; 20 jobs
Odeko,odeko,greenhouse,40,low,1,YC-discovered; 20 jobs
Daybreak Health,daybreakhealth,greenhouse,40,low,1,YC-discovered; 20 jobs
Abacum,abacum,ashby,40,low,1,YC-discovered; 20 jobs
Nash,nash,ashby,40,low,1,YC-discovered; 20 jobs
RADAR,radar,greenhouse,40,low,1,YC-discovered; 19 jobs
Pyka,pyka,lever,40,low,1,YC-discovered; 19 jobs
Pine Park Health,pineparkhealth,greenhouse,40,low,1,YC-discovered; 19 jobs
Playground,playground,ashby,40,low,1,YC-discovered; 19 jobs
Ophelia,ophelia,greenhouse,40,low,1,YC-discovered; 19 jobs
Savvy,savvy,ashby,40,low,1,YC-discovered; 19 jobs
Mable,mable,lever,40,low,1,YC-discovered; 19 jobs
Firecrawl,firecrawl,ashby,40,low,1,YC-discovered; 19 jobs
Alloy,alloy,greenhouse,40,low,1,YC-discovered; 19 jobs
Symphony,symphony,greenhouse,40,low,1,YC-discovered; 19 jobs
Primer,primer,ashby,40,low,1,YC-discovered; 19 jobs
OpenWork,openwork,greenhouse,40,low,1,YC-discovered; 19 jobs
Mattermost,mattermost,greenhouse,40,low,1,YC-discovered; 18 jobs
Zapier,zapier,ashby,40,low,1,YC-discovered; 18 jobs
Padlet,padlet,ashby,40,low,1,YC-discovered; 18 jobs
Alchemy,alchemy,ashby,40,low,1,YC-discovered; 18 jobs
Gecko Robotics,gecko-robotics,ashby,40,low,1,YC-discovered; 18 jobs
Snappr,snappr,lever,40,low,1,YC-discovered; 18 jobs
Observe.AI,observeai,greenhouse,40,low,1,YC-discovered; 18 jobs
Short Story,shortstory,ashby,40,low,1,YC-discovered; 18 jobs
Porter,porter,lever,40,low,1,YC-discovered; 18 jobs
Hive Health,hivehealth,ashby,40,low,1,YC-discovered; 18 jobs
Layup,layup,lever,40,low,1,YC-discovered; 18 jobs
Mashgin,mashgin,lever,40,low,1,YC-discovered; 17 jobs
NimbleRx,nimblerx,lever,40,low,1,YC-discovered; 17 jobs
Sendbird,sendbird,greenhouse,40,low,1,YC-discovered; 17 jobs
Groww,groww,greenhouse,40,low,1,YC-discovered; 17 jobs
Middesk,middesk,ashby,40,low,1,YC-discovered; 17 jobs
Fuse,fuse,ashby,40,low,1,YC-discovered; 17 jobs
Shepherd,shepherd,ashby,40,low,1,YC-discovered; 17 jobs
Proper,proper,lever,40,low,1,YC-discovered; 17 jobs
Metriport,metriport,ashby,40,low,1,YC-discovered; 17 jobs
Rescale,rescale,ashby,40,low,1,YC-discovered; 16 jobs
Qventus,qventus,greenhouse,40,low,1,YC-discovered; 16 jobs
Swayable,swayable,greenhouse,40,low,1,YC-discovered; 16 jobs
Humaans,humaans,ashby,40,low,1,YC-discovered; 16 jobs
Legion Health,legionhealth,ashby,40,low,1,YC-discovered; 16 jobs
Tennr,tennr,ashby,40,low,1,YC-discovered; 16 jobs
Prosper,prosper,lever,40,low,1,YC-discovered; 16 jobs
Hexa,hexa,ashby,40,low,1,YC-discovered; 16 jobs
Boom,boom,ashby,40,low,1,YC-discovered; 15 jobs
Pearl,pearl,ashby,40,low,1,YC-discovered; 15 jobs
Veriff,veriff,greenhouse,40,low,1,YC-discovered; 15 jobs
FamPay,fampay,lever,40,low,1,YC-discovered; 15 jobs
Camber,camber,ashby,40,low,1,YC-discovered; 15 jobs
Quindar,quindar,ashby,40,low,1,YC-discovered; 15 jobs
Oneleet,oneleet,ashby,40,low,1,YC-discovered; 15 jobs
Solve Intelligence,solveintelligence,ashby,40,low,1,YC-discovered; 15 jobs
Langdock,langdock,ashby,40,low,1,YC-discovered; 15 jobs
Affinity,affinity,greenhouse,40,low,1,YC-discovered; 15 jobs
Garage,garage,ashby,40,low,1,YC-discovered; 15 jobs
Hazel,hazel,greenhouse,40,low,1,YC-discovered; 15 jobs
telli,telli,ashby,40,low,1,YC-discovered; 15 jobs
Nova Credit,novacredit,greenhouse,40,low,1,YC-discovered; 14 jobs
Photoroom,photoroom,ashby,40,low,1,YC-discovered; 14 jobs
Atomic Industries,atomicindustries,ashby,40,low,1,YC-discovered; 14 jobs
SigNoz,signoz,ashby,40,low,1,YC-discovered; 14 jobs
Ziina,ziina,ashby,40,low,1,YC-discovered; 14 jobs
LemFi,lemfi,ashby,40,low,1,YC-discovered; 14 jobs
Attain,attain,greenhouse,40,low,1,YC-discovered; 14 jobs
Aurelian,aurelian,ashby,40,low,1,YC-discovered; 14 jobs
Extend,extend,greenhouse,40,low,1,YC-discovered; 14 jobs
HockeyStack,hockeystack,ashby,40,low,1,YC-discovered; 14 jobs
Blacksmith,blacksmith,ashby,40,low,1,YC-discovered; 14 jobs
Conveo,conveo,ashby,40,low,1,YC-discovered; 14 jobs
Vibe,vibe,ashby,40,low,1,YC-discovered; 14 jobs
David AI,david-ai,ashby,40,low,1,YC-discovered; 14 jobs
Flip,flip,greenhouse,40,low,1,YC-discovered; 13 jobs
GiveCampus,givecampus,greenhouse,40,low,1,YC-discovered; 13 jobs
Lattice,lattice,greenhouse,40,low,1,YC-discovered; 13 jobs
The Athletic,theathletic,lever,40,low,1,YC-discovered; 13 jobs
Carrot Fertility,carrotfertility,greenhouse,40,low,1,YC-discovered; 13 jobs
Parker,parker,ashby,40,low,1,YC-discovered; 13 jobs
Lago,lago,ashby,40,low,1,YC-discovered; 13 jobs
Bree,bree,ashby,40,low,1,YC-discovered; 13 jobs
Coast,coast,greenhouse,40,low,1,YC-discovered; 13 jobs
Posh,posh,ashby,40,low,1,YC-discovered; 13 jobs
Honeydew,honeydew,ashby,40,low,1,YC-discovered; 13 jobs
Phonely,phonely,ashby,40,low,1,YC-discovered; 13 jobs
Auctor,auctor,ashby,40,low,1,YC-discovered; 13 jobs
Fulcrum,fulcrum,ashby,40,low,1,YC-discovered; 13 jobs
Sift,sift,ashby,40,low,1,YC-discovered; 12 jobs
Ginkgo Bioworks,ginkgobioworks,greenhouse,40,low,1,YC-discovered; 12 jobs
Tovala,tovala,lever,40,low,1,YC-discovered; 12 jobs
Salt Security,saltsecurity,greenhouse,40,low,1,YC-discovered; 12 jobs
Pelago,pelago,greenhouse,40,low,1,YC-discovered; 12 jobs
Titan,titan,ashby,40,low,1,YC-discovered; 12 jobs
Prodigal,prodigal,greenhouse,40,low,1,YC-discovered; 12 jobs
Hatch,hatch,ashby,40,low,1,YC-discovered; 12 jobs
Benepass,benepass,ashby,40,low,1,YC-discovered; 12 jobs
AtoB,atob,ashby,40,low,1,YC-discovered; 12 jobs
Topline Pro,topline-pro,ashby,40,low,1,YC-discovered; 12 jobs
Odys Aviation,odys-aviation,ashby,40,low,1,YC-discovered; 12 jobs
Float,float,ashby,40,low,1,YC-discovered; 12 jobs
Pylon,pylon,ashby,40,low,1,YC-discovered; 12 jobs
Novig,novig,ashby,40,low,1,YC-discovered; 12 jobs
Kombo,kombo,ashby,40,low,1,YC-discovered; 12 jobs
Concourse,concourse,ashby,40,low,1,YC-discovered; 12 jobs
PointOne,pointone,ashby,40,low,1,YC-discovered; 12 jobs
FurtherAI,furtherai,ashby,40,low,1,YC-discovered; 12 jobs
ClaimSorted,claimsorted,ashby,40,low,1,YC-discovered; 12 jobs
Modus,modus,ashby,40,low,1,YC-discovered; 12 jobs
Eloquent AI,eloquentai,ashby,40,low,1,YC-discovered; 12 jobs
Icarus,icarus,greenhouse,40,low,1,YC-discovered; 12 jobs
Cambly,cambly,ashby,40,low,1,YC-discovered; 11 jobs
Hush,hush,lever,40,low,1,YC-discovered; 11 jobs
Spellbrush,spellbrush,ashby,40,low,1,YC-discovered; 11 jobs
Momentus,momentus,greenhouse,40,low,1,YC-discovered; 11 jobs
Mutiny,mutiny,ashby,40,low,1,YC-discovered; 11 jobs
Flux,flux,ashby,40,low,1,YC-discovered; 11 jobs
Luminai,luminai,ashby,40,low,1,YC-discovered; 11 jobs
Arketa,arketa,ashby,40,low,1,YC-discovered; 11 jobs
Finch,finch,lever,40,low,1,YC-discovered; 11 jobs
Bloom,bloom,lever,40,low,1,YC-discovered; 11 jobs
Sphere,sphere,ashby,40,low,1,YC-discovered; 11 jobs
Langfuse,langfuse,ashby,40,low,1,YC-discovered; 11 jobs
Onshore,onshore,greenhouse,40,low,1,YC-discovered; 11 jobs
Clarion,clarion,ashby,40,low,1,YC-discovered; 11 jobs
Datacurve,datacurve,ashby,40,low,1,YC-discovered; 11 jobs
