name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Cvshealth,cvshealth|wd1|cvs_health_careers,workday,40,low,1,delta-verified; 16197 jobs
Svetness,svetness,greenhouse,40,low,1,delta-verified; 4897 jobs
Whataburger,whataburger|wd5|wab_careers,workday,40,low,1,delta-verified; 4180 jobs
Davita,davita|wd1|dkc_external,workday,40,low,1,delta-verified; 3329 jobs
Ccf,ccf|wd1|clevelandcliniccareers,workday,40,low,1,delta-verified; 2006 jobs
Cw,cw|wd1|external,workday,40,low,1,delta-verified; 2000 jobs
Cnx,cnx|wd1|external_global,workday,40,low,1,delta-verified; 1623 jobs
Danaher,danaher|wd1|danaherjobs,workday,40,low,1,delta-verified; 1388 jobs
Ecolab,ecolab|wd1|ecolab_external,workday,40,low,1,delta-verified; 1343 jobs
Carmax,carmax|wd1|external,workday,40,low,1,delta-verified; 1275 jobs
Childrensplace,childrensplace|wd1|tcp02,workday,40,low,1,delta-verified; 1275 jobs
Urpt,urpt,greenhouse,40,low,1,delta-verified; 1274 jobs
Daveandbusters,daveandbusters|wd1|dave_and_busters_careers,workday,40,low,1,delta-verified; 1265 jobs
Dxctechnology,dxctechnology|wd1|dxcjobs,workday,40,low,1,delta-verified; 1264 jobs
Wppmedia,wppmedia,greenhouse,40,low,1,delta-verified; 1244 jobs
Nshs,nshs|wd1|ns-eeh,workday,40,low,1,delta-verified; 1098 jobs
Cinemark,cinemark|wd1|cinemark,workday,40,low,1,delta-verified; 1093 jobs
Veterinaryemergencygroupst,veterinaryemergencygroupst,greenhouse,40,low,1,delta-verified; 970 jobs
Ntu,ntu|wd3|careers,workday,40,low,1,delta-verified; 889 jobs
Wynd,wynd|wd5|external,workday,40,low,1,delta-verified; 852 jobs
Zeissgroup,zeissgroup|wd3|external,workday,40,low,1,delta-verified; 802 jobs
Carters,carters|wd1|carterscareers,workday,40,low,1,delta-verified; 797 jobs
Dutchbros,dutchbros|wd1|dbshops,workday,40,low,1,delta-verified; 758 jobs
Weis,weis|wd108|careers,workday,40,low,1,delta-verified; 758 jobs
Cardinalhealth,cardinalhealth|wd1|ext,workday,40,low,1,delta-verified; 747 jobs
Churchs,churchs|wd1|field,workday,40,low,1,delta-verified; 720 jobs
Cox,cox|wd1|cox_external_career_site_1,workday,40,low,1,delta-verified; 710 jobs
Wundermanthompson,wundermanthompson,greenhouse,40,low,1,delta-verified; 694 jobs
Agecare,agecare|wd10|agecare_careers_external,workday,40,low,1,delta-verified; 689 jobs
Daveandbusters,daveandbusters|wd1|main_event_careers,workday,40,low,1,delta-verified; 649 jobs
Ntrs,ntrs|wd1|northerntrust,workday,40,low,1,delta-verified; 597 jobs
Solenis,solenis|wd1|solenis,workday,40,low,1,delta-verified; 591 jobs
Xylem,xylem|wd5|xylem-careers,workday,40,low,1,delta-verified; 587 jobs
Wk,wk|wd3|external,workday,40,low,1,delta-verified; 565 jobs
Capitalhealth,capitalhealth|wd1|capitalhealthcareers,workday,40,low,1,delta-verified; 538 jobs
Chenmed,chenmed|wd1|chenmed,workday,40,low,1,delta-verified; 529 jobs
Pfizer,pfizer|wd1|pfizercareers,workday,40,low,1,delta-verified; 528 jobs
Capri,capri|wd1|michael_kors,workday,40,low,1,delta-verified; 527 jobs
Terminix,terminix|wd1|terminix,workday,40,low,1,delta-verified; 512 jobs
Salvationarmy,salvationarmy|wd3|volunteer,workday,40,low,1,delta-verified; 508 jobs
Yai,yai|wd5|careers,workday,40,low,1,delta-verified; 504 jobs
Solutionhealth,solutionhealth|wd1|careers,workday,40,low,1,delta-verified; 501 jobs
Claytonhomes,claytonhomes|wd1|claytoncareers,workday,40,low,1,delta-verified; 461 jobs
Communicarehealth,communicarehealth|wd1|newvistaexternalcareersite,workday,40,low,1,delta-verified; 458 jobs
Gianttiger,gianttiger|wd3|gianttiger,workday,40,low,1,delta-verified; 457 jobs
Sumup,sumup,greenhouse,40,low,1,delta-verified; 429 jobs
Costar,costar|wd1|costarcareers,workday,40,low,1,delta-verified; 421 jobs
Dyson,dyson|wd3|dyson_careers,workday,40,low,1,delta-verified; 406 jobs
Waymo,waymo,greenhouse,40,low,1,delta-verified; 402 jobs
Thesciongroupllc,thesciongroupllc,greenhouse,40,low,1,delta-verified; 390 jobs
Wisconsin,wisconsin|wd1|uw_comprehensives,workday,40,low,1,delta-verified; 382 jobs
Dexcom,dexcom|wd1|dexcom,workday,40,low,1,delta-verified; 377 jobs
Marinabaysands,marinabaysands|wd102|external,workday,40,low,1,delta-verified; 377 jobs
Workday,workday|wd5|workday,workday,40,low,1,delta-verified; 370 jobs
Younglife,younglife|wd5|younglife_careers,workday,40,low,1,delta-verified; 367 jobs
Vitalcaringgroup,vitalcaringgroup,greenhouse,40,low,1,delta-verified; 365 jobs
Crhc,crhc|wd1|concord_careers,workday,40,low,1,delta-verified; 351 jobs
Denverhealth,denverhealth|wd1|dhha-main,workday,40,low,1,delta-verified; 344 jobs
Zscaler,zscaler,greenhouse,40,low,1,delta-verified; 343 jobs
Nyp,nyp|wd1|nypcareers,workday,40,low,1,delta-verified; 341 jobs
Cwi,cwi|wd1|cw_careers,workday,40,low,1,delta-verified; 340 jobs
Edenpeople,edenpeople|wd3|edenred_careers,workday,40,low,1,delta-verified; 333 jobs
Wisconsin,wisconsin|wd1|uw_madison,workday,40,low,1,delta-verified; 332 jobs
Unitedmedia,unitedmedia,greenhouse,40,low,1,delta-verified; 330 jobs
Tegnainc,tegnainc,greenhouse,40,low,1,delta-verified; 329 jobs
Citicclsa,citicclsa|wd3|external,workday,40,low,1,delta-verified; 328 jobs
Wisconsin,wisconsin|wd1|uw_students,workday,40,low,1,delta-verified; 323 jobs
Wth,wth|wd501|wth,workday,40,low,1,delta-verified; 319 jobs
Airproducts,airproducts|wd5|ap0001,workday,40,low,1,delta-verified; 312 jobs
Zeppelin,zeppelin|wd3|careers,workday,40,low,1,delta-verified; 305 jobs
Curtisswright,curtisswright|wd1|cw_external_career_site,workday,40,low,1,delta-verified; 295 jobs
Zrsmanagement,zrsmanagement|wd5|zrs_careers,workday,40,low,1,delta-verified; 285 jobs
Toast,toast,greenhouse,40,low,1,delta-verified; 284 jobs
Clearskyhealth,clearskyhealth|wd1|csh,workday,40,low,1,delta-verified; 284 jobs
Wolt,wolt,greenhouse,40,low,1,delta-verified; 282 jobs
Teampicnic,teampicnic,greenhouse,40,low,1,delta-verified; 281 jobs
Worldmarket,worldmarket|wd5|cost_plus_world_market_jobs,workday,40,low,1,delta-verified; 281 jobs
Snc,snc|wd1|snc_external_career_site,workday,40,low,1,delta-verified; 273 jobs
Veeamsoftware,veeamsoftware,greenhouse,40,low,1,delta-verified; 272 jobs
Xometry,xometry,greenhouse,40,low,1,delta-verified; 268 jobs
Veterinarypracticepartners,veterinarypracticepartners,greenhouse,40,low,1,delta-verified; 261 jobs
Coke,coke|wd1|coca-cola-careers,workday,40,low,1,delta-verified; 261 jobs
Conagrabrands,conagrabrands|wd1|careers_us,workday,40,low,1,delta-verified; 261 jobs
Coreandmain,coreandmain|wd1|coreandmain,workday,40,low,1,delta-verified; 254 jobs
Zoll,zoll|wd5|zollmedicalcorp,workday,40,low,1,delta-verified; 251 jobs
Cookchildrens,cookchildrens|wd1|cook_childrens_careers,workday,40,low,1,delta-verified; 249 jobs
Csl,csl|wd1|csl_external,workday,40,low,1,delta-verified; 243 jobs
Terex,terex|wd1|terexcareers,workday,40,low,1,delta-verified; 241 jobs
Colemanwm,colemanwm|wd1|coleman_careers,workday,40,low,1,delta-verified; 237 jobs
Pfizer,pfizer|wd1|internaljobs,workday,40,low,1,delta-verified; 224 jobs
Weir,weir|wd3|weir_external_careers,workday,40,low,1,delta-verified; 222 jobs
Xai,xai,greenhouse,40,low,1,delta-verified; 221 jobs
Medimarketgroup,medimarketgroup|wd103|mmg,workday,40,low,1,delta-verified; 218 jobs
Sonoco,sonoco|wd1|corporatecareers,workday,40,low,1,delta-verified; 218 jobs
Wpp,wpp,greenhouse,40,low,1,delta-verified; 217 jobs
