name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Fhcrc,fhcrc,icims,40,low,1,icims-verified; 100+ jobs
Nv5,nv5,icims,40,low,1,icims-verified; 100+ jobs
Nacg,nacg,icims,40,low,1,icims-verified; 72+ jobs
Centralhealth,centralhealth,icims,40,low,1,icims-verified; 60+ jobs
360Care,360care,icims,40,low,1,icims-verified; 50+ jobs
48Forty,48forty,icims,40,low,1,icims-verified; 50+ jobs
Actslife,actslife,icims,40,low,1,icims-verified; 50+ jobs
Acuren,acuren,icims,40,low,1,icims-verified; 50+ jobs
Ahrc,ahrc,icims,40,low,1,icims-verified; 50+ jobs
Airmethods,airmethods,icims,40,low,1,icims-verified; 50+ jobs
Akahillc,akahillc,icims,40,low,1,icims-verified; 50+ jobs
Aitworldwide,aitworldwide,icims,40,low,1,icims-verified; 50+ jobs
Aithomedelivery,aithomedelivery,icims,40,low,1,icims-verified; 50+ jobs
Alcami,alcami,icims,40,low,1,icims-verified; 50+ jobs
Alumus,alumus,icims,40,low,1,icims-verified; 50+ jobs
Allwayscaring,allwayscaring,icims,40,low,1,icims-verified; 50+ jobs
Americancareercollege,americancareercollege,icims,40,low,1,icims-verified; 50+ jobs
Americansystems,americansystems,icims,40,low,1,icims-verified; 50+ jobs
Americanvisionpartners,americanvisionpartners,icims,40,low,1,icims-verified; 50+ jobs
Americanseniorbenefits,americanseniorbenefits,icims,40,low,1,icims-verified; 50+ jobs
Apogeeusa,apogeeusa,icims,40,low,1,icims-verified; 50+ jobs
Arcwoodenviro,arcwoodenviro,icims,40,low,1,icims-verified; 50+ jobs
Aptiveresources,aptiveresources,icims,40,low,1,icims-verified; 50+ jobs
Arizonacollege,arizonacollege,icims,40,low,1,icims-verified; 50+ jobs
Ars,ars,icims,40,low,1,icims-verified; 50+ jobs
Atipt,atipt,icims,40,low,1,icims-verified; 50+ jobs
Atlas Aerospace,atlas-aerospace,icims,40,low,1,icims-verified; 50+ jobs
Baptisthealthal,baptisthealthal,icims,40,low,1,icims-verified; 50+ jobs
Bayfronthealth,bayfronthealth,icims,40,low,1,icims-verified; 50+ jobs
Beebehealthcare,beebehealthcare,icims,40,low,1,icims-verified; 50+ jobs
Betterhealthgroup,betterhealthgroup,icims,40,low,1,icims-verified; 50+ jobs
Bernhard,bernhard,icims,40,low,1,icims-verified; 50+ jobs
Bncollege,bncollege,icims,40,low,1,icims-verified; 50+ jobs
Bocusa,bocusa,icims,40,low,1,icims-verified; 50+ jobs
Bostonpizza,bostonpizza,icims,40,low,1,icims-verified; 50+ jobs
Bowhead,bowhead,icims,40,low,1,icims-verified; 50+ jobs
Blueridgehealth,blueridgehealth,icims,40,low,1,icims-verified; 50+ jobs
Brightviewhealth,brightviewhealth,icims,40,low,1,icims-verified; 50+ jobs
Brightviewseniorliving,brightviewseniorliving,icims,40,low,1,icims-verified; 50+ jobs
Brightonhospice,brightonhospice,icims,40,low,1,icims-verified; 50+ jobs
Brightspring,brightspring,icims,40,low,1,icims-verified; 50+ jobs
Brookdalecc,brookdalecc,icims,40,low,1,icims-verified; 50+ jobs
Bronxcare,bronxcare,icims,40,low,1,icims-verified; 50+ jobs
Cadence Education,cadence-education,icims,40,low,1,icims-verified; 50+ jobs
Cajunusa,cajunusa,icims,40,low,1,icims-verified; 50+ jobs
Campero,campero,icims,40,low,1,icims-verified; 50+ jobs
Cambrianhomecare,cambrianhomecare,icims,40,low,1,icims-verified; 50+ jobs
Canada Shermco,canada-shermco,icims,40,low,1,icims-verified; 50+ jobs
Cannacabana,cannacabana,icims,40,low,1,icims-verified; 50+ jobs
Captrust,captrust,icims,40,low,1,icims-verified; 50+ jobs
Careringhealth,careringhealth,icims,40,low,1,icims-verified; 50+ jobs
Carepartners,carepartners,icims,40,low,1,icims-verified; 50+ jobs
Carepointhealth,carepointhealth,icims,40,low,1,icims-verified; 50+ jobs
Carle,carle,icims,40,low,1,icims-verified; 50+ jobs
Ccwestmi,ccwestmi,icims,40,low,1,icims-verified; 50+ jobs
Cayuseholdings,cayuseholdings,icims,40,low,1,icims-verified; 50+ jobs
Cellularsales,cellularsales,icims,40,low,1,icims-verified; 50+ jobs
Ccf,ccf,icims,40,low,1,icims-verified; 50+ jobs
Channelpartners,channelpartners,icims,40,low,1,icims-verified; 50+ jobs
Changegrowlive,changegrowlive,icims,40,low,1,icims-verified; 50+ jobs
Ccr,ccr,icims,40,low,1,icims-verified; 50+ jobs
Chordsdp,chordsdp,icims,40,low,1,icims-verified; 50+ jobs
Chsli,chsli,icims,40,low,1,icims-verified; 50+ jobs
Civilianmedicaljobs,civilianmedicaljobs,icims,40,low,1,icims-verified; 50+ jobs
Clsliving,clsliving,icims,40,low,1,icims-verified; 50+ jobs
Consoreng,consoreng,icims,40,low,1,icims-verified; 50+ jobs
Coraltreehospitality,coraltreehospitality,icims,40,low,1,icims-verified; 50+ jobs
Cordobacorp,cordobacorp,icims,40,low,1,icims-verified; 50+ jobs
Cooperparry,cooperparry,icims,40,low,1,icims-verified; 50+ jobs
Cotiviti,cotiviti,icims,40,low,1,icims-verified; 50+ jobs
Curtislumber,curtislumber,icims,40,low,1,icims-verified; 50+ jobs
Culmen,culmen,icims,40,low,1,icims-verified; 50+ jobs
Curanahealth,curanahealth,icims,40,low,1,icims-verified; 50+ jobs
Dartmouth Hitchcock,dartmouth-hitchcock,icims,40,low,1,icims-verified; 50+ jobs
Davidsonhospitality,davidsonhospitality,icims,40,low,1,icims-verified; 50+ jobs
Daytonfreight,daytonfreight,icims,40,low,1,icims-verified; 50+ jobs
Dchsystem,dchsystem,icims,40,low,1,icims-verified; 50+ jobs
De Axa,de-axa,icims,40,low,1,icims-verified; 50+ jobs
Dcgoodwill,dcgoodwill,icims,40,low,1,icims-verified; 50+ jobs
Delta Americas,delta-americas,icims,40,low,1,icims-verified; 50+ jobs
Didiglobal,didiglobal,icims,40,low,1,icims-verified; 50+ jobs
Dohrn,dohrn,icims,40,low,1,icims-verified; 50+ jobs
Dohertyinc,dohertyinc,icims,40,low,1,icims-verified; 50+ jobs
E2Optics,e2optics,icims,40,low,1,icims-verified; 50+ jobs
Duluthtrading,duluthtrading,icims,40,low,1,icims-verified; 50+ jobs
Eastpennmanufacturing,eastpennmanufacturing,icims,40,low,1,icims-verified; 50+ jobs
Edmorse,edmorse,icims,40,low,1,icims-verified; 50+ jobs
Eatatjacks,eatatjacks,icims,40,low,1,icims-verified; 50+ jobs
Electronic Therapy,electronic-therapy,icims,40,low,1,icims-verified; 50+ jobs
Emcorgroup,emcorgroup,icims,40,low,1,icims-verified; 50+ jobs
Emlerswimschool,emlerswimschool,icims,40,low,1,icims-verified; 50+ jobs
Embarkbh,embarkbh,icims,40,low,1,icims-verified; 50+ jobs
Encorefireprotection,encorefireprotection,icims,40,low,1,icims-verified; 50+ jobs
Endeavorschoolsllc,endeavorschoolsllc,icims,40,low,1,icims-verified; 50+ jobs
Enfra,enfra,icims,40,low,1,icims-verified; 50+ jobs
Epikafleet,epikafleet,icims,40,low,1,icims-verified; 50+ jobs
Envoyair,envoyair,icims,40,low,1,icims-verified; 50+ jobs
Epeconsulting,epeconsulting,icims,40,low,1,icims-verified; 50+ jobs
Ermcoeci,ermcoeci,icims,40,low,1,icims-verified; 50+ jobs
Essenmed,essenmed,icims,40,low,1,icims-verified; 50+ jobs
Exponent,exponent,icims,40,low,1,icims-verified; 50+ jobs
Feeltheadvantage,feeltheadvantage,icims,40,low,1,icims-verified; 50+ jobs
Fbmsales,fbmsales,icims,40,low,1,icims-verified; 50+ jobs
Fdcorpcan,fdcorpcan,icims,40,low,1,icims-verified; 50+ jobs
Fdcorp,fdcorp,icims,40,low,1,icims-verified; 50+ jobs
Fhfurr,fhfurr,icims,40,low,1,icims-verified; 50+ jobs
Filtrationgroupcorp,filtrationgroupcorp,icims,40,low,1,icims-verified; 50+ jobs
Flanigans,flanigans,icims,40,low,1,icims-verified; 50+ jobs
Flexpath,flexpath,icims,40,low,1,icims-verified; 50+ jobs
Floridamedclinic,floridamedclinic,icims,40,low,1,icims-verified; 50+ jobs
Flexplath,flexplath,icims,40,low,1,icims-verified; 50+ jobs
Framatome,framatome,icims,40,low,1,icims-verified; 50+ jobs
Frankgayresidential,frankgayresidential,icims,40,low,1,icims-verified; 50+ jobs
Frescoymas,frescoymas,icims,40,low,1,icims-verified; 50+ jobs
Fsg,fsg,icims,40,low,1,icims-verified; 50+ jobs
Gdeb,gdeb,icims,40,low,1,icims-verified; 50+ jobs
Geosyntec,geosyntec,icims,40,low,1,icims-verified; 50+ jobs
Genusplc,genusplc,icims,40,low,1,icims-verified; 50+ jobs
Goldbeltapex,goldbeltapex,icims,40,low,1,icims-verified; 50+ jobs
Goldenstepsaba,goldenstepsaba,icims,40,low,1,icims-verified; 50+ jobs
Goldbeltghs,goldbeltghs,icims,40,low,1,icims-verified; 50+ jobs
Goodshepherdhospice,goodshepherdhospice,icims,40,low,1,icims-verified; 50+ jobs
Greyhound,greyhound,icims,40,low,1,icims-verified; 50+ jobs
Granicus,granicus,icims,40,low,1,icims-verified; 50+ jobs
Grsm,grsm,icims,40,low,1,icims-verified; 50+ jobs
Harmonycares,harmonycares,icims,40,low,1,icims-verified; 50+ jobs
Hamiltoncompany,hamiltoncompany,icims,40,low,1,icims-verified; 50+ jobs
Healthconnectamerica,healthconnectamerica,icims,40,low,1,icims-verified; 50+ jobs
Heartlandvetpartners,heartlandvetpartners,icims,40,low,1,icims-verified; 50+ jobs
Heliohealth,heliohealth,icims,40,low,1,icims-verified; 50+ jobs
Heywood,heywood,icims,40,low,1,icims-verified; 50+ jobs
Highmarkres,highmarkres,icims,40,low,1,icims-verified; 50+ jobs
Ho Chunk,ho-chunk,icims,40,low,1,icims-verified; 50+ jobs
Hrblock,hrblock,icims,40,low,1,icims-verified; 50+ jobs
Hustlerhollywood,hustlerhollywood,icims,40,low,1,icims-verified; 50+ jobs
Ice,ice,icims,40,low,1,icims-verified; 50+ jobs
Ideagen,ideagen,icims,40,low,1,icims-verified; 50+ jobs
Indeed,indeed,icims,40,low,1,icims-verified; 50+ jobs
International Realpagepms,international-realpagepms,icims,40,low,1,icims-verified; 50+ jobs
Interstatewaste,interstatewaste,icims,40,low,1,icims-verified; 50+ jobs
Interstatewasteservices,interstatewasteservices,icims,40,low,1,icims-verified; 50+ jobs
Itcfederal,itcfederal,icims,40,low,1,icims-verified; 50+ jobs
Jocogov,jocogov,icims,40,low,1,icims-verified; 50+ jobs
Johnsiskandson,johnsiskandson,icims,40,low,1,icims-verified; 50+ jobs
Kimley Horn,kimley-horn,icims,40,low,1,icims-verified; 50+ jobs
Kinaxis,kinaxis,icims,40,low,1,icims-verified; 50+ jobs
Kleinfelder,kleinfelder,icims,40,low,1,icims-verified; 50+ jobs
Kidscarehh,kidscarehh,icims,40,low,1,icims-verified; 50+ jobs
