name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Smcp,smcp,smartrecruiters,40,low,1,cross-probe verified; 491 jobs
Kombo,kombo,smartrecruiters,40,low,1,cross-probe verified; 148 jobs
Beamery,beamery,smartrecruiters,40,low,1,cross-probe verified; 135 jobs
Felix,felix,gem,40,low,1,cross-probe verified; 86 jobs
Fetch,fetch,gem,40,low,1,cross-probe verified; 62 jobs
Scottytechnologies,scottytechnologies,smartrecruiters,40,low,1,cross-probe verified; 60 jobs
Navitas,navitas,smartrecruiters,40,low,1,cross-probe verified; 58 jobs
Escape,escape,recruitee,40,low,1,cross-probe verified; 40 jobs
Findhelp,findhelp,rippling,40,low,1,cross-probe verified; 37 jobs
Astra,astra,rippling,40,low,1,cross-probe verified; 28 jobs
Stackone,stackone,smartrecruiters,40,low,1,cross-probe verified; 27 jobs
Hackerrank,hackerrank,smartrecruiters,40,low,1,cross-probe verified; 25 jobs
Accenturefederalservices,accenturefederalservices,smartrecruiters,40,low,1,cross-probe verified; 23 jobs
Biorender,biorender,gem,40,low,1,cross-probe verified; 23 jobs
Startuptap,startuptap,gem,40,low,1,cross-probe verified; 23 jobs
Dualentry,dualentry,recruitee,40,low,1,cross-probe verified; 22 jobs
Thirdbridge1,thirdbridge1,smartrecruiters,40,low,1,cross-probe verified; 22 jobs
Genea,genea,smartrecruiters,40,low,1,cross-probe verified; 21 jobs
Quality,quality,recruitee,40,low,1,cross-probe verified; 21 jobs
Revhealth,revhealth,rippling,40,low,1,cross-probe verified; 21 jobs
Tract,tract,rippling,40,low,1,cross-probe verified; 19 jobs
Yuma,yuma,recruitee,40,low,1,cross-probe verified; 19 jobs
Auger,auger,gem,40,low,1,cross-probe verified; 18 jobs
Eternal,eternal,rippling,40,low,1,cross-probe verified; 18 jobs
Foresight,foresight,rippling,40,low,1,cross-probe verified; 18 jobs
Wearerosie,wearerosie,smartrecruiters,40,low,1,cross-probe verified; 18 jobs
Pronto,pronto,rippling,40,low,1,cross-probe verified; 17 jobs
Cnmllp,cnmllp,smartrecruiters,40,low,1,cross-probe verified; 16 jobs
Signpost,signpost,recruitee,40,low,1,cross-probe verified; 16 jobs
Startuptap,startuptap,smartrecruiters,40,low,1,cross-probe verified; 16 jobs
Toku,toku,recruitee,40,low,1,cross-probe verified; 14 jobs
Centralchurch,centralchurch,recruitee,40,low,1,cross-probe verified; 12 jobs
Conductor,conductor,rippling,40,low,1,cross-probe verified; 12 jobs
Esper,esper,rippling,40,low,1,cross-probe verified; 12 jobs
Outsurance,outsurance,smartrecruiters,40,low,1,cross-probe verified; 12 jobs
Patlytics,patlytics,gem,40,low,1,cross-probe verified; 12 jobs
Wtpartnership,wtpartnership,smartrecruiters,40,low,1,cross-probe verified; 12 jobs
Button,button,rippling,40,low,1,cross-probe verified; 11 jobs
Coherusbiosciences,coherusbiosciences,smartrecruiters,40,low,1,cross-probe verified; 11 jobs
Mindtickle,mindtickle,smartrecruiters,40,low,1,cross-probe verified; 11 jobs
Plexus,plexus,rippling,40,low,1,cross-probe verified; 11 jobs
Raylu Ai,raylu-ai,gem,40,low,1,cross-probe verified; 11 jobs
Appen,appen,smartrecruiters,40,low,1,cross-probe verified; 10 jobs
Heymilo,heymilo,smartrecruiters,40,low,1,cross-probe verified; 10 jobs
Influ2,influ2,smartrecruiters,40,low,1,cross-probe verified; 10 jobs
Mainspringenergy,mainspringenergy,smartrecruiters,40,low,1,cross-probe verified; 10 jobs
Moon,moon,rippling,40,low,1,cross-probe verified; 10 jobs
Ntconcepts,ntconcepts,smartrecruiters,40,low,1,cross-probe verified; 10 jobs
Palantir,palantir,smartrecruiters,40,low,1,cross-probe verified; 10 jobs
Seekout,seekout,smartrecruiters,40,low,1,cross-probe verified; 10 jobs
Sourcemeridian,sourcemeridian,smartrecruiters,40,low,1,cross-probe verified; 10 jobs
Sovrn,sovrn,smartrecruiters,40,low,1,cross-probe verified; 10 jobs
Tempo,tempo,smartrecruiters,40,low,1,cross-probe verified; 10 jobs
Arlo,arlo,gem,40,low,1,cross-probe verified; 9 jobs
Azerion,azerion,smartrecruiters,40,low,1,cross-probe verified; 9 jobs
Casap,casap,gem,40,low,1,cross-probe verified; 9 jobs
Hopeservices,hopeservices,smartrecruiters,40,low,1,cross-probe verified; 9 jobs
Lendingtree,lendingtree,smartrecruiters,40,low,1,cross-probe verified; 9 jobs
Quantanite,quantanite,smartrecruiters,40,low,1,cross-probe verified; 9 jobs
Aap,aap,recruitee,40,low,1,cross-probe verified; 8 jobs
Arbor,arbor,gem,40,low,1,cross-probe verified; 8 jobs
Hootsuite,hootsuite,smartrecruiters,40,low,1,cross-probe verified; 8 jobs
Netskope,netskope,smartrecruiters,40,low,1,cross-probe verified; 8 jobs
Pathos,pathos,rippling,40,low,1,cross-probe verified; 8 jobs
Signoz,signoz,gem,40,low,1,cross-probe verified; 8 jobs
Ultra,ultra,gem,40,low,1,cross-probe verified; 8 jobs
1Inch,1inch,workable,40,low,1,cross-probe verified; 7 jobs
1Mind,1mind,workable,40,low,1,cross-probe verified; 7 jobs
1Password,1password,workable,40,low,1,cross-probe verified; 7 jobs
1Stdibscom,1stdibscom,workable,40,low,1,cross-probe verified; 7 jobs
Alku,alku,smartrecruiters,40,low,1,cross-probe verified; 7 jobs
Avoca,avoca,gem,40,low,1,cross-probe verified; 7 jobs
Businesswire,businesswire,smartrecruiters,40,low,1,cross-probe verified; 7 jobs
Justworks,justworks,smartrecruiters,40,low,1,cross-probe verified; 7 jobs
Level,level,gem,40,low,1,cross-probe verified; 7 jobs
Momentum,momentum,rippling,40,low,1,cross-probe verified; 7 jobs
Shift,shift,rippling,40,low,1,cross-probe verified; 7 jobs
Aerovect,aerovect,smartrecruiters,40,low,1,cross-probe verified; 6 jobs
Berkadia,berkadia,smartrecruiters,40,low,1,cross-probe verified; 6 jobs
Bluecurrent,bluecurrent,smartrecruiters,40,low,1,cross-probe verified; 6 jobs
Caredxinc,caredxinc,smartrecruiters,40,low,1,cross-probe verified; 6 jobs
Gomomentum,gomomentum,recruitee,40,low,1,cross-probe verified; 6 jobs
Helloproducts,helloproducts,smartrecruiters,40,low,1,cross-probe verified; 6 jobs
Juicebox,juicebox,gem,40,low,1,cross-probe verified; 6 jobs
Medecinssansfrontieres,medecinssansfrontieres,smartrecruiters,40,low,1,cross-probe verified; 6 jobs
Nve,nve,rippling,40,low,1,cross-probe verified; 6 jobs
Oneenergyrenewables,oneenergyrenewables,rippling,40,low,1,cross-probe verified; 6 jobs
Paradox,paradox,smartrecruiters,40,low,1,cross-probe verified; 6 jobs
Planned,planned,gem,40,low,1,cross-probe verified; 6 jobs
Splice,splice,smartrecruiters,40,low,1,cross-probe verified; 6 jobs
Workato,workato,smartrecruiters,40,low,1,cross-probe verified; 6 jobs
Atlashotels,atlashotels,smartrecruiters,40,low,1,cross-probe verified; 5 jobs
Battlecreekchurch,battlecreekchurch,rippling,40,low,1,cross-probe verified; 5 jobs
Chathamfinancial,chathamfinancial,smartrecruiters,40,low,1,cross-probe verified; 5 jobs
Distributed Spectrum,distributed-spectrum,gem,40,low,1,cross-probe verified; 5 jobs
Flint,flint,gem,40,low,1,cross-probe verified; 5 jobs
Mec,mec,recruitee,40,low,1,cross-probe verified; 5 jobs
Polar,polar,gem,40,low,1,cross-probe verified; 5 jobs
Propertyme,propertyme,smartrecruiters,40,low,1,cross-probe verified; 5 jobs
Rracapital,rracapital,rippling,40,low,1,cross-probe verified; 5 jobs
Swat,swat,rippling,40,low,1,cross-probe verified; 5 jobs
Switchboard,switchboard,rippling,40,low,1,cross-probe verified; 5 jobs
Agency,agency,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
Binance,binance,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
Branch,branch,rippling,40,low,1,cross-probe verified; 4 jobs
Brighthire,brighthire,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
Concord,concord,rippling,40,low,1,cross-probe verified; 4 jobs
Evolutioniq,evolutioniq,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
Formal,formal,gem,40,low,1,cross-probe verified; 4 jobs
Instructure,instructure,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
Kayzen,kayzen,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
Materialbank,materialbank,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
Pearceservices,pearceservices,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
Pei,pei,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
R2,r2,rippling,40,low,1,cross-probe verified; 4 jobs
Rewardsnetwork,rewardsnetwork,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
Sightcall,sightcall,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
Siteminder,siteminder,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
Vixxo,vixxo,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
Zerotier,zerotier,smartrecruiters,40,low,1,cross-probe verified; 4 jobs
Aeratechnology,aeratechnology,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Criteriacorp,criteriacorp,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Dataconcepts,dataconcepts,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Icapitalnetwork,icapitalnetwork,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Interviewkickstart,interviewkickstart,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Kickmaker,kickmaker,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Klaxoon,klaxoon,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Lxt,lxt,recruitee,40,low,1,cross-probe verified; 3 jobs
Mosaic,mosaic,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Msf,msf,recruitee,40,low,1,cross-probe verified; 3 jobs
Newrelic,newrelic,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Pexa,pexa,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Raenest,raenest,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Rdc,rdc,recruitee,40,low,1,cross-probe verified; 3 jobs
Schonfeld,schonfeld,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Sentry,sentry,rippling,40,low,1,cross-probe verified; 3 jobs
Sonderaustralia,sonderaustralia,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Sps,sps,rippling,40,low,1,cross-probe verified; 3 jobs
Stepstone,stepstone,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Zeeco,zeeco,smartrecruiters,40,low,1,cross-probe verified; 3 jobs
Affinity,affinity,rippling,40,low,1,cross-probe verified; 2 jobs
Akur8,akur8,recruitee,40,low,1,cross-probe verified; 2 jobs
Aviatornation,aviatornation,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Beyondtrust,beyondtrust,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Bloom,bloom,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Bolster,bolster,recruitee,40,low,1,cross-probe verified; 2 jobs
Bravebison,bravebison,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Careernowbrands,careernowbrands,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Careerteam,careerteam,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Charliehealth,charliehealth,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Clarity,clarity,recruitee,40,low,1,cross-probe verified; 2 jobs
Consensus,consensus,rippling,40,low,1,cross-probe verified; 2 jobs
Cordellcordell,cordellcordell,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Crosby,crosby,gem,40,low,1,cross-probe verified; 2 jobs
Digitalplanet,digitalplanet,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Estateguru,estateguru,rippling,40,low,1,cross-probe verified; 2 jobs
Handshake,handshake,gem,40,low,1,cross-probe verified; 2 jobs
Impact,impact,recruitee,40,low,1,cross-probe verified; 2 jobs
Inspiration Commerce Group,inspiration-commerce-group,gem,40,low,1,cross-probe verified; 2 jobs
Jbconsulting,jbconsulting,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Juicebox,juicebox,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Jumio,jumio,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Kin,kin,rippling,40,low,1,cross-probe verified; 2 jobs
Manifest,manifest,gem,40,low,1,cross-probe verified; 2 jobs
Maple,maple,gem,40,low,1,cross-probe verified; 2 jobs
Maxima,maxima,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Pave,pave,gem,40,low,1,cross-probe verified; 2 jobs
Princesspolly,princesspolly,rippling,40,low,1,cross-probe verified; 2 jobs
Ratedpeople,ratedpeople,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Sagent,sagent,rippling,40,low,1,cross-probe verified; 2 jobs
Sierraclub,sierraclub,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Source,source,gem,40,low,1,cross-probe verified; 2 jobs
Space44,space44,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Speakeasy,speakeasy,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Superset,superset,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Terminal,terminal,rippling,40,low,1,cross-probe verified; 2 jobs
Viagogo,viagogo,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Wellspring,wellspring,rippling,40,low,1,cross-probe verified; 2 jobs
Zendrop,zendrop,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Zoro,zoro,smartrecruiters,40,low,1,cross-probe verified; 2 jobs
Abclabs,abclabs,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Agentio,agentio,gem,40,low,1,cross-probe verified; 1 jobs
Aidkit,aidkit,rippling,40,low,1,cross-probe verified; 1 jobs
Amity,amity,breezy,40,low,1,cross-probe verified; 1 jobs
Analyticpartners,analyticpartners,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Arbor,arbor,rippling,40,low,1,cross-probe verified; 1 jobs
Archer,archer,rippling,40,low,1,cross-probe verified; 1 jobs
Associationfornewcanadians,associationfornewcanadians,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Asuresoftware,asuresoftware,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Atyeti,atyeti,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Authenticbrandsgroup,authenticbrandsgroup,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Bc2,bc2,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Bluecoding,bluecoding,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Campphoenix,campphoenix,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Celestia,celestia,recruitee,40,low,1,cross-probe verified; 1 jobs
Chaincodelabs,chaincodelabs,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Clarity,clarity,gem,40,low,1,cross-probe verified; 1 jobs
Clerky,clerky,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Clinchoice,clinchoice,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Cloudsmiths,cloudsmiths,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Cmlabs,cmlabs,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Coderpad,coderpad,recruitee,40,low,1,cross-probe verified; 1 jobs
Constrafor,constrafor,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Coople,coople,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Coursera,coursera,recruitee,40,low,1,cross-probe verified; 1 jobs
Cyngn,cyngn,rippling,40,low,1,cross-probe verified; 1 jobs
Dataiku,dataiku,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Dealerware,dealerware,rippling,40,low,1,cross-probe verified; 1 jobs
Dealpath,dealpath,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Directaccessathome,directaccessathome,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Doctoranywhere,doctoranywhere,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Doctorshospital,doctorshospital,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Fartherfinance,fartherfinance,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Flynncompanies,flynncompanies,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Gcbrieau,gcbrieau,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Gbta,gbta,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Gracechurch,gracechurch,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Greenhouse,greenhouse,rippling,40,low,1,cross-probe verified; 1 jobs
Greenschool,greenschool,recruitee,40,low,1,cross-probe verified; 1 jobs
Greenthumbindustries,greenthumbindustries,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Growthleads,growthleads,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Happyco,happyco,recruitee,40,low,1,cross-probe verified; 1 jobs
Harmonic,harmonic,gem,40,low,1,cross-probe verified; 1 jobs
Healthcare,healthcare,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Innovecs,innovecs,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Inthepocket,inthepocket,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
Kinsta,kinsta,smartrecruiters,40,low,1,cross-probe verified; 1 jobs
