name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Smcp,smcp,smartrecruiters,40,low,1,discovered via SR probe; 494 live postings
Carepointhealth,carepointhealth,smartrecruiters,40,low,1,discovered via SR probe; 185 live postings
Kombo,kombo,smartrecruiters,40,low,1,discovered via SR probe; 154 live postings
Beamery,beamery,smartrecruiters,65,high,1,discovered via SR probe; 135 live postings
Colliers,colliers,smartrecruiters,50,low,1,discovered via SR probe; 117 live postings
Northwesternmutual,northwesternmutual,smartrecruiters,50,low,1,discovered via SR probe; 69 live postings
Scottytechnologies,scottytechnologies,smartrecruiters,40,low,1,discovered via SR probe; 60 live postings
Chubbfiresecurity,chubbfiresecurity,smartrecruiters,50,low,1,discovered via SR probe; 58 live postings
Navitas,navitas,smartrecruiters,78,high,1,discovered via SR probe; 54 live postings
8X8Inc,8x8inc,smartrecruiters,50,low,1,discovered via SR probe; 42 live postings
Stackone,stackone,smartrecruiters,40,low,1,discovered via SR probe; 29 live postings
HackerRank,hackerrank,smartrecruiters,40,low,1,discovered via SR probe; 26 live postings
Accenturefederalservices,accenturefederalservices,smartrecruiters,40,high,1,discovered via SR probe; 23 live postings
Thirdbridge1,thirdbridge1,smartrecruiters,40,low,1,discovered via SR probe; 22 live postings
Hireright1,hireright1,smartrecruiters,40,low,1,discovered via SR probe; 20 live postings
Henco,henco,smartrecruiters,40,low,1,discovered via SR probe; 19 live postings
Transperfect,transperfect,smartrecruiters,65,high,1,discovered via SR probe; 18 live postings
Startuptap,startuptap,smartrecruiters,40,low,1,discovered via SR probe; 16 live postings
Cnmllp,cnmllp,smartrecruiters,40,low,1,discovered via SR probe; 16 live postings
Caci,caci,smartrecruiters,50,low,1,discovered via SR probe; 14 live postings
Miltoncat,miltoncat,smartrecruiters,40,low,1,discovered via SR probe; 14 live postings
Sdsurf,sdsurf,smartrecruiters,40,low,1,discovered via SR probe; 13 live postings
Outsurance,outsurance,smartrecruiters,40,low,1,discovered via SR probe; 13 live postings
Stevens,stevens,smartrecruiters,50,low,1,discovered via SR probe; 12 live postings
Genea,genea,smartrecruiters,40,low,1,discovered via SR probe; 12 live postings
Wtpartnership,wtpartnership,smartrecruiters,40,low,1,discovered via SR probe; 12 live postings
Wearerosie,wearerosie,smartrecruiters,40,low,1,discovered via SR probe; 12 live postings
Coherusbiosciences,coherusbiosciences,smartrecruiters,78,high,1,discovered via SR probe; 11 live postings
Mindtickle,mindtickle,smartrecruiters,65,high,1,discovered via SR probe; 11 live postings
Gapinc,gapinc,smartrecruiters,50,low,1,discovered via SR probe; 11 live postings
Mainspringenergy,mainspringenergy,smartrecruiters,88,high,1,discovered via SR probe; 10 live postings
Bluecurrent,bluecurrent,smartrecruiters,65,high,1,discovered via SR probe; 10 live postings
