name,career_url,ats_type,h1b_history_score,priority,is_active,notes
9Dot,9dot|wd503|ofy_careers,workday,50,low,1,workday; 20 US jobs
Aaamidatlantic,aaamidatlantic|wd5|external_career_ase,workday,50,low,1,workday; 20 US jobs
Aaamidatlantic,aaamidatlantic|wd5|aaamidatlantic,workday,50,low,1,workday; 20 US jobs
Aah,aah|wd5|scotland-external,workday,50,low,1,workday; 20 US jobs
Aah,aah|wd5|external,workday,50,low,1,workday; 20 US jobs
A1Group,a1group|wd3|a1_jobs_mk,workday,50,low,1,workday; 20 US jobs
A1Group,a1group|wd3|a1_jobs_sr,workday,50,low,1,workday; 20 US jobs
A1Group,a1group|wd3|a1_jobs_bg,workday,50,low,1,workday; 20 US jobs
Abbluecross,abbluecross|wd3|careers,workday,50,low,1,workday; 20 US jobs
Abcsupply,abcsupply|wd1|abcsupplycareers,workday,50,low,1,workday; 20 US jobs
2020Companies,2020companies|wd1|external_careers,workday,50,low,1,workday; 20 US jobs
Abbott,abbott|wd5|abbottcareers2,workday,50,low,1,workday; 20 US jobs
Absa,absa|wd3|absacareersite,workday,50,low,1,workday; 20 US jobs
Academy,academy|wd1|careers,workday,50,low,1,workday; 20 US jobs
Acendahealth,acendahealth|wd501|acendahealth,workday,50,low,1,workday; 20 US jobs
Acendahealth,acendahealth|wd501|broadbean_external,workday,50,low,1,workday; 20 US jobs
Acelero,acelero|wd1|shineearlylearningcareers,workday,50,low,1,workday; 20 US jobs
Acelero,acelero|wd1|acelerolearningcareers,workday,50,low,1,workday; 20 US jobs
Ace,ace|wd5|careers,workday,50,low,1,workday; 20 US jobs
Acg,acg|wd1|careers,workday,50,low,1,workday; 20 US jobs
Acehardware,acehardware|wd1|ahhs_external,workday,50,low,1,workday; 20 US jobs
Acehardware,acehardware|wd1|external,workday,50,low,1,workday; 20 US jobs
Acrisure,acrisure|wd1|acrisure,workday,50,low,1,workday; 20 US jobs
Acehardware,acehardware|wd1|arg_external,workday,50,low,1,workday; 20 US jobs
Acrt,acrt|wd1|acrt_careers,workday,50,low,1,workday; 20 US jobs
Accenture,accenture|wd103|accenturecareers,workday,50,low,1,workday; 20 US jobs
Acs,acs|wd5|acscareers,workday,50,low,1,workday; 20 US jobs
Acu,acu|wd108|acucareers,workday,50,low,1,workday; 20 US jobs
Admiralbeverage,admiralbeverage|wd5|external,workday,50,low,1,workday; 20 US jobs
Acuityinternational,acuityinternational|wd5|external,workday,50,low,1,workday; 20 US jobs
Admiralbeverage,admiralbeverage|wd5|teton_external_career,workday,50,low,1,workday; 20 US jobs
Adec,adec|wd5|a-dec,workday,50,low,1,workday; 20 US jobs
Acxiomllc,acxiomllc|wd5|acxiomusa,workday,50,low,1,workday; 20 US jobs
Adams,adams|wd1|asu,workday,50,low,1,workday; 20 US jobs
Aeci,aeci|wd1|aeci,workday,50,low,1,workday; 20 US jobs
Aersale,aersale|wd5|aer1001,workday,50,low,1,workday; 20 US jobs
Aep,aep|wd1|aepcareersite,workday,50,low,1,workday; 20 US jobs
Aero,aero|wd5|external,workday,50,low,1,workday; 20 US jobs
Advanceauto,advanceauto|wd5|advanceexternalcareers,workday,50,low,1,workday; 20 US jobs
Adventhealth,adventhealth|wd12|ah_external_career_site,workday,50,low,1,workday; 20 US jobs
Adventisthealthcare,adventisthealthcare|wd1|adventisthealthcarecareers,workday,50,low,1,workday; 20 US jobs
Aes,aes|wd1|aes_clean_energy,workday,50,low,1,workday; 20 US jobs
Aes,aes|wd1|aes_us,workday,50,low,1,workday; 20 US jobs
Advisorgroup,advisorgroup|wd1|advisor_career_site,workday,50,low,1,workday; 20 US jobs
Agiliti,agiliti|wd5|careers,workday,50,low,1,workday; 20 US jobs
Agiliti,agiliti|wd5|operations,workday,50,low,1,workday; 20 US jobs
Agp,agp|wd12|agp_careers,workday,50,low,1,workday; 20 US jobs
Agoc,agoc|wd5|external,workday,50,low,1,workday; 20 US jobs
Agropur,agropur|wd3|agropur_careers,workday,50,low,1,workday; 20 US jobs
Aims,aims|wd1|jobs,workday,50,low,1,workday; 20 US jobs
Airtron,airtron|wd108|airtron_careers,workday,50,low,1,workday; 20 US jobs
Akumincorp,akumincorp|wd5|akumincareers,workday,50,low,1,workday; 20 US jobs
Akamerica,akamerica|wd501|aka,workday,50,low,1,workday; 20 US jobs
Airliquidehr,airliquidehr|wd3|airgasexternalcareer,workday,50,low,1,workday; 20 US jobs
Aksteel,aksteel|wd1|careers,workday,50,low,1,workday; 20 US jobs
Albanymed,albanymed|wd5|albany_med,workday,50,low,1,workday; 20 US jobs
Albertamotorassociation,albertamotorassociation|wd3|ama,workday,50,low,1,workday; 20 US jobs
Alcority,alcority|wd1|traditionshealth,workday,50,low,1,workday; 20 US jobs
Aligneddc,aligneddc|wd12|aligneddc,workday,50,low,1,workday; 20 US jobs
