name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Adelphirealworld,adelphirealworld,greenhouse,40,medium,1,harvested from new_grad/HN feed
Applytotruebuilt,applytotruebuilt,greenhouse,40,medium,1,harvested from new_grad/HN feed
Asteraearlycareer2026,asteraearlycareer2026,greenhouse,40,medium,1,harvested from new_grad/HN feed
Blueskyinnovators,blueskyinnovators,greenhouse,40,medium,1,harvested from new_grad/HN feed
Chicagotrading,chicagotrading,greenhouse,40,medium,1,harvested from new_grad/HN feed
Digs,digs,greenhouse,40,medium,1,harvested from new_grad/HN feed
Elevationscreditunion,elevationscreditunion,greenhouse,40,medium,1,harvested from new_grad/HN feed
Fourhands,fourhands,greenhouse,40,medium,1,harvested from new_grad/HN feed
Fschumacherco,fschumacherco,greenhouse,40,medium,1,harvested from new_grad/HN feed
Fspco Op012325,fspco-op012325,greenhouse,40,medium,1,harvested from new_grad/HN feed
Ftandinternships,ftandinternships,greenhouse,40,medium,1,harvested from new_grad/HN feed
Furtherearlycareer,furtherearlycareer,greenhouse,40,medium,1,harvested from new_grad/HN feed
Gallup,gallup,greenhouse,40,medium,1,harvested from new_grad/HN feed
Gelberhandshake,gelberhandshake,greenhouse,40,medium,1,harvested from new_grad/HN feed
Hankooktireamericacorp,hankooktireamericacorp,greenhouse,40,medium,1,harvested from new_grad/HN feed
Horizonsurgicalsystems,horizonsurgicalsystems,greenhouse,40,medium,1,harvested from new_grad/HN feed
Innodatainc,innodatainc,greenhouse,40,medium,1,harvested from new_grad/HN feed
Klaviyojobs,klaviyojobs,greenhouse,40,medium,1,harvested from new_grad/HN feed
Scminternships,scminternships,greenhouse,40,medium,1,harvested from new_grad/HN feed
Uareai,uareai,greenhouse,40,medium,1,harvested from new_grad/HN feed
Aifund,aifund,lever,40,medium,1,harvested from new_grad/HN feed
Anysignal,anysignal,lever,40,medium,1,harvested from new_grad/HN feed
Arcteryx.Com,arcteryx.com,lever,40,medium,1,harvested from new_grad/HN feed
Capricor,capricor,lever,40,medium,1,harvested from new_grad/HN feed
Cascademgt,cascademgt,lever,40,medium,1,harvested from new_grad/HN feed
Cesiumastro,cesiumastro,lever,40,medium,1,harvested from new_grad/HN feed
Commercearchitects,commercearchitects,lever,40,medium,1,harvested from new_grad/HN feed
Hive,hive,lever,40,medium,1,harvested from new_grad/HN feed
Ivo,ivo,lever,40,medium,1,harvested from new_grad/HN feed
Leverdemo,leverdemo,lever,40,medium,1,harvested from new_grad/HN feed
Linkllc,linkllc,lever,40,medium,1,harvested from new_grad/HN feed
Mbrdna,mbrdna,lever,40,medium,1,harvested from new_grad/HN feed
Simberobotics,simberobotics,lever,40,medium,1,harvested from new_grad/HN feed
Symmetrysystems,symmetrysystems,lever,40,medium,1,harvested from new_grad/HN feed
Aditude,aditude,ashby,40,medium,1,harvested from new_grad/HN feed
Authorium,authorium,ashby,40,medium,1,harvested from new_grad/HN feed
Candidate.Fyi,candidate.fyi,ashby,40,medium,1,harvested from new_grad/HN feed
Context,context,ashby,40,medium,1,harvested from new_grad/HN feed
Flagright.Com,flagright.com,ashby,40,medium,1,harvested from new_grad/HN feed
Flashpoint.Io,flashpoint.io,ashby,40,medium,1,harvested from new_grad/HN feed
Gen Digital,gen-digital,ashby,40,medium,1,harvested from new_grad/HN feed
Glide,glide,ashby,40,medium,1,harvested from new_grad/HN feed
Hippocratic,hippocratic,ashby,40,medium,1,harvested from new_grad/HN feed
Liquid,liquid,ashby,40,medium,1,harvested from new_grad/HN feed
Makai Labs,makai-labs,ashby,40,medium,1,harvested from new_grad/HN feed
Metalenz,metalenz,ashby,40,medium,1,harvested from new_grad/HN feed
Par,par,ashby,40,medium,1,harvested from new_grad/HN feed
Parallel,parallel,ashby,40,medium,1,harvested from new_grad/HN feed
Rivianvw.Tech,rivianvw.tech,ashby,40,medium,1,harvested from new_grad/HN feed
Silnahealth.Com,silnahealth.com,ashby,40,medium,1,harvested from new_grad/HN feed
Super.Com,super.com,ashby,40,medium,1,harvested from new_grad/HN feed
